100229,oracle-mysql-cve-2009-4030
100230,oracle-mysql-cve-2009-5026
100231,oracle-mysql-cve-2010-1626
100232,oracle-mysql-cve-2010-3676
100233,oracle-mysql-cve-2010-3677
100234,oracle-mysql-cve-2010-3678
100235,oracle-mysql-cve-2010-3679
100236,oracle-mysql-cve-2010-3680
100237,oracle-mysql-cve-2010-3681
100238,oracle-mysql-cve-2010-3682
100239,oracle-mysql-cve-2010-3683
100240,oracle-mysql-cve-2010-3833
100241,oracle-mysql-cve-2010-3834
100242,oracle-mysql-cve-2010-3835
100243,oracle-mysql-cve-2010-3836
100244,oracle-mysql-cve-2010-3837
100245,oracle-mysql-cve-2010-3838
100246,oracle-mysql-cve-2010-3839
100247,oracle-mysql-cve-2010-3840
100248,oracle-mysql-cve-2011-2262
100249,oracle-mysql-cve-2011-5049
100250,oracle-mysql-cve-2012-0075
100251,oracle-mysql-cve-2012-0087
100252,oracle-mysql-cve-2012-0101
100253,oracle-mysql-cve-2012-0102
100254,oracle-mysql-cve-2012-0112
100255,oracle-mysql-cve-2012-0113
100256,oracle-mysql-cve-2012-0114
100257,oracle-mysql-cve-2012-0115
100258,oracle-mysql-cve-2012-0116
100259,oracle-mysql-cve-2012-0117
100260,oracle-mysql-cve-2012-0118
100261,oracle-mysql-cve-2012-0119
100262,oracle-mysql-cve-2012-0120
100263,oracle-mysql-cve-2012-0484
100264,oracle-mysql-cve-2012-0485
100265,oracle-mysql-cve-2012-0486
100266,oracle-mysql-cve-2012-0487
100267,oracle-mysql-cve-2012-0488
100268,oracle-mysql-cve-2012-0489
100269,oracle-mysql-cve-2012-0490
100270,oracle-mysql-cve-2012-0491
100271,oracle-mysql-cve-2012-0492
100272,oracle-mysql-cve-2012-0493
100273,oracle-mysql-cve-2012-0494
100274,oracle-mysql-cve-2012-0495
100275,oracle-mysql-cve-2012-0496
100276,oracle-mysql-cve-2012-0540
100277,oracle-mysql-cve-2012-0553
100278,oracle-mysql-cve-2012-0572
100279,oracle-mysql-cve-2012-0574
100280,oracle-mysql-cve-2012-0578
100281,oracle-mysql-cve-2012-0583
100282,oracle-mysql-cve-2012-0882
100283,oracle-mysql-cve-2012-1688
100284,oracle-mysql-cve-2012-1689
100285,oracle-mysql-cve-2012-1690
100286,oracle-mysql-cve-2012-1696
100287,oracle-mysql-cve-2012-1697
100288,oracle-mysql-cve-2012-1702
100289,oracle-mysql-cve-2012-1703
100290,oracle-mysql-cve-2012-1705
100291,oracle-mysql-cve-2012-1734
100292,oracle-mysql-cve-2012-1735
100293,oracle-mysql-cve-2012-1756
100294,oracle-mysql-cve-2012-1757
100295,oracle-mysql-cve-2012-2102
100296,oracle-mysql-cve-2012-2122
100297,oracle-mysql-cve-2012-2749
100298,oracle-mysql-cve-2012-2750
100299,oracle-mysql-cve-2012-3144
100300,oracle-mysql-cve-2012-3147
100301,oracle-mysql-cve-2012-3149
100302,oracle-mysql-cve-2012-3150
100303,oracle-mysql-cve-2012-3156
100304,oracle-mysql-cve-2012-3158
100305,oracle-mysql-cve-2012-3160
100306,oracle-mysql-cve-2012-3163
100307,oracle-mysql-cve-2012-3166
100308,oracle-mysql-cve-2012-3167
100309,oracle-mysql-cve-2012-3173
100310,oracle-mysql-cve-2012-3177
100311,oracle-mysql-cve-2012-3180
100312,oracle-mysql-cve-2012-3197
100313,oracle-mysql-cve-2012-4414
100314,oracle-mysql-cve-2012-4452
100315,oracle-mysql-cve-2012-5060
100316,oracle-mysql-cve-2012-5096
100317,oracle-mysql-cve-2012-5611
100318,oracle-mysql-cve-2012-5612
100319,oracle-mysql-cve-2012-5614
100320,oracle-mysql-cve-2012-5615
100321,oracle-mysql-cve-2012-5627
100322,oracle-mysql-cve-2013-0367
100323,oracle-mysql-cve-2013-0368
100324,oracle-mysql-cve-2013-0371
100325,oracle-mysql-cve-2013-0375
100326,oracle-mysql-cve-2013-0383
100327,oracle-mysql-cve-2013-0384
100328,oracle-mysql-cve-2013-0385
100329,oracle-mysql-cve-2013-0386
100330,oracle-mysql-cve-2013-0389
100331,oracle-mysql-cve-2013-1492
100332,oracle-mysql-cve-2013-1502
100333,oracle-mysql-cve-2013-1506
100334,oracle-mysql-cve-2013-1511
100335,oracle-mysql-cve-2013-1512
100336,oracle-mysql-cve-2013-1521
100337,oracle-mysql-cve-2013-1523
100338,oracle-mysql-cve-2013-1526
100339,oracle-mysql-cve-2013-1531
100340,oracle-mysql-cve-2013-1532
100341,oracle-mysql-cve-2013-1544
100342,oracle-mysql-cve-2013-1548
100343,oracle-mysql-cve-2013-1552
100344,oracle-mysql-cve-2013-1555
100345,oracle-mysql-cve-2013-1566
100346,oracle-mysql-cve-2013-1567
100347,oracle-mysql-cve-2013-1570
100348,oracle-mysql-cve-2013-2375
100349,oracle-mysql-cve-2013-2376
100350,oracle-mysql-cve-2013-2378
100351,oracle-mysql-cve-2013-2381
100352,oracle-mysql-cve-2013-2389
100353,oracle-mysql-cve-2013-2391
100354,oracle-mysql-cve-2013-2392
100355,oracle-mysql-cve-2013-2395
100356,oracle-mysql-cve-2013-3783
100357,oracle-mysql-cve-2013-3793
100358,oracle-mysql-cve-2013-3794
100359,oracle-mysql-cve-2013-3795
100360,oracle-mysql-cve-2013-3796
100361,oracle-mysql-cve-2013-3798
100362,oracle-mysql-cve-2013-3801
100363,oracle-mysql-cve-2013-3802
100364,oracle-mysql-cve-2013-3804
100365,oracle-mysql-cve-2013-3805
100366,oracle-mysql-cve-2013-3806
100367,oracle-mysql-cve-2013-3807
100368,oracle-mysql-cve-2013-3808
100369,oracle-mysql-cve-2013-3809
100370,oracle-mysql-cve-2013-3810
100371,oracle-mysql-cve-2013-3811
100372,oracle-mysql-cve-2013-3812
100373,oracle-mysql-cve-2013-3839
100374,oracle-mysql-cve-2013-5767
100375,oracle-mysql-cve-2013-5770
100376,oracle-mysql-cve-2013-5786
100377,oracle-mysql-cve-2013-5793
100378,oracle-mysql-cve-2013-5807
100379,oracle-mysql-cve-2013-5860
100380,oracle-mysql-cve-2013-5881
100381,oracle-mysql-cve-2013-5882
100382,oracle-mysql-cve-2013-5891
100383,oracle-mysql-cve-2013-5894
100384,oracle-mysql-cve-2013-5908
100385,oracle-mysql-cve-2014-0001
100386,oracle-mysql-cve-2014-0384
100387,oracle-mysql-cve-2014-0386
100388,oracle-mysql-cve-2014-0393
100389,oracle-mysql-cve-2014-0401
100390,oracle-mysql-cve-2014-0402
100391,oracle-mysql-cve-2014-0412
100392,oracle-mysql-cve-2014-0420
100393,oracle-mysql-cve-2014-0427
100394,oracle-mysql-cve-2014-0430
100395,oracle-mysql-cve-2014-0431
100396,oracle-mysql-cve-2014-0433
100397,oracle-mysql-cve-2014-0437
100398,oracle-mysql-cve-2014-2419
100399,oracle-mysql-cve-2014-2430
100400,oracle-mysql-cve-2014-2431
100401,oracle-mysql-cve-2014-2432
100402,oracle-mysql-cve-2014-2434
100403,oracle-mysql-cve-2014-2435
100404,oracle-mysql-cve-2014-2436
100405,oracle-mysql-cve-2014-2438
100406,oracle-mysql-cve-2014-2440
100407,oracle-mysql-cve-2014-2442
100408,oracle-mysql-cve-2014-2444
100409,oracle-mysql-cve-2014-2450
100410,oracle-mysql-cve-2014-2451
100411,oracle-mysql-cve-2014-2484
